Sensitivity/Biomass Scaled Average (tonne/day);Sensitivity/Biomass Price ($/tonne);Sensitivity/Biomass Gasification Ratio (kg/kg);Architecture/LR6-72 (kW);Architecture/Bio (kW);Architecture/Grid (kW);Architecture/Conv (kW);Architecture/Dispatch;Cost/NPC ($);Cost/LCOE ($/kWh);Cost/Operating cost ($/yr);Cost/CAPEX ($);Cost/Fuel cost ($/yr);Cost/OPEX ($/yr);System/Ren Frac (%);System/Total Fuel (tons/yr);System/Elec Prod (kWh/yr);System/Elec Cons (kWh/yr);System/Clipped Energy (%);System/Clipped Energy (kWh/yr);System/Excess Therm (kWh/yr);System/Unmet load (%);System/Unmet load (kWh/yr);System/CO₂ (kg/yr);System/MRP (%);Project Economics/Present Worth ($);Project Economics/ROI (%);Project Economics/IRR (%);Project Economics/Simple Payback (yr);Bio/Capacity;Bio/Hours;Bio/Production (kWh);Bio/Fuel (tons);Bio/O&M Cost ($/yr);Bio/Fuel Cost ($/yr);LR6-72/PV Capacity (kW);LR6-72/Inverter Capacity (kW);LR6-72/CAPEX;LR6-72/Energy Production (kWh/yr);Conv/Capacity;Conv/Rectifier Mean Output (kW);Conv/Inverter Mean Output (kW);Grid/Capacity;Grid/MonthlyCapacity;Grid/Energy Purchased (kWh);Grid/Energy Sold (kWh)
1;4;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;0;0.04255;580.109.375;20;999999;5.209.859.375;CC;1620520;0.1768867;95306.98;1114296;0;92852.45;5.043.265;3.646.865;1766718;1724808;3,45E-10;6,10E-06;0;3,32E-12;4,97E-08;404783.2;1.052.632;;;;;20;4015;73572.05;3.646.865;803;0;580.109.375;0;1044197;838204.3;5.209.859.375;0;9.090.115;999999;;854941.4;225022.5
10;4;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;-133022.2;5.073.063;7.557.408;103.387;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
5;0;0.0851;580.109.375;20;999999;5.209.859.375;CC;1620520;0.1768867;95306.98;1114296;0;92852.45;5.043.265;1.823.432;1766718;1724808;3,45E-10;6,10E-06;0;3,32E-12;4,97E-08;401446;1.052.632;;;;;20;4015;73572.05;1.823.432;803;0;580.109.375;0;1044197;838204.3;5.209.859.375;0;9.090.115;999999;;854941.4;225022.5
5;4;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;5;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
5;1;0.0851;580.109.375;20;999999;5.209.859.375;CC;1630206;0.1779438;97130.41;1114296;1.823.432;92852.45;5.043.265;1.823.432;1766718;1724808;3,45E-10;6,10E-06;0;3,32E-12;4,97E-08;401446;1.052.632;;;;;20;4015;73572.05;1.823.432;803;1.823.432;580.109.375;0;1044197;838204.3;5.209.859.375;0;9.090.115;999999;;854941.4;225022.5
10;5;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;1;0.04255;580.109.375;20;999999;5.209.859.375;CC;1639891;0.179001;98953.84;1114296;3.646.865;92852.45;5.043.265;3.646.865;1766718;1724808;3,45E-10;6,10E-06;0;3,32E-12;4,97E-08;404783.2;1.052.632;;;;;20;4015;73572.05;3.646.865;803;3.646.865;580.109.375;0;1044197;838204.3;5.209.859.375;0;9.090.115;999999;;854941.4;225022.5
5;5;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
5;2;0.0851;580.109.375;20;999999;5.209.859.375;CC;1639891;0.179001;98953.84;1114296;3.646.865;92852.45;5.043.265;1.823.432;1766718;1724808;3,45E-10;6,10E-06;0;3,32E-12;4,97E-08;401446;1.052.632;;;;;20;4015;73572.05;1.823.432;803;3.646.865;580.109.375;0;1044197;838204.3;5.209.859.375;0;9.090.115;999999;;854941.4;225022.5
5;3;0.0851;580.109.375;20;999999;5.209.859.375;CC;1649576;0.1800597;100777.3;1114296;5.470.297;92852.45;5.043.307;1.823.432;1766703;1724793;3,45E-10;6,10E-06;0;3,32E-12;4,97E-08;401446;1.052.632;;;;;20;4015;73572.05;1.823.432;803;5.470.297;580.109.375;0;1044197;838204.3;5.209.859.375;0;9.090.115;999999;;854926.8;225007.8
1;5;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;2;0.04255;580.109.375;20;999999;5.209.859.375;CC;1659261;0.1811169;102600.7;1114296;7293.73;92852.45;5.043.307;3.646.865;1766703;1724793;3,45E-10;6,10E-06;0;3,32E-12;4,97E-08;404783.2;1.052.632;;;;;20;4015;73572.05;3.646.865;803;7293.73;580.109.375;0;1044197;838204.3;5.209.859.375;0;9.090.115;999999;;854926.8;225007.8
10;5;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
5;4;0.0851;580.109.375;20;999999;5.209.859.375;CC;1659261;0.1811169;102600.7;1114296;7293.73;92852.45;5.043.307;1.823.432;1766703;1724793;3,45E-10;6,10E-06;0;3,32E-12;4,97E-08;401446;1.052.632;;;;;20;4015;73572.05;1.823.432;803;7293.73;580.109.375;0;1044197;838204.3;5.209.859.375;0;9.090.115;999999;;854926.8;225007.8
5;5;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
