Sensitivity/Biomass Scaled Average (tonne/day);Sensitivity/Biomass Price ($/tonne);Sensitivity/Biomass Gasification Ratio (kg/kg);Architecture/LR6-72 (kW);Architecture/Bio (kW);Architecture/Grid (kW);Architecture/Conv (kW);Architecture/Dispatch;Cost/NPC ($);Cost/LCOE ($/kWh);Cost/Operating cost ($/yr);Cost/CAPEX ($);Cost/Fuel cost ($/yr);Cost/OPEX ($/yr);System/Ren Frac (%);System/Total Fuel (tons/yr);System/Elec Prod (kWh/yr);System/Elec Cons (kWh/yr);System/Clipped Energy (%);System/Clipped Energy (kWh/yr);System/Excess Therm (kWh/yr);System/Unmet load (%);System/Unmet load (kWh/yr);System/CO₂ (kg/yr);System/MRP (%);Project Economics/Present Worth ($);Project Economics/ROI (%);Project Economics/IRR (%);Project Economics/Simple Payback (yr);Bio/Capacity;Bio/Hours;Bio/Production (kWh);Bio/Fuel (tons);Bio/O&M Cost ($/yr);Bio/Fuel Cost ($/yr);LR6-72/PV Capacity (kW);LR6-72/Inverter Capacity (kW);LR6-72/CAPEX;LR6-72/Energy Production (kWh/yr);Conv/Capacity;Conv/Rectifier Mean Output (kW);Conv/Inverter Mean Output (kW);Grid/Capacity;Grid/MonthlyCapacity;Grid/Energy Purchased (kWh);Grid/Energy Sold (kWh)
5;3;0.04255;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1733796;0.1823959;96233.88;1222648;1.981.551;93025.06;5.007.301;660.517;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382723;1.052.632;;;;;10;4015;12045;660.517;401.5;1.981.551;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
1;2;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;4;0.04255;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1737305;0.182765;96894.39;1222648;2.642.068;93025.06;5.007.301;660.517;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382723;1.052.632;;;;;10;4015;12045;660.517;401.5;2.642.068;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
10;2;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;-171773.5;2.101.377;3.565.761;1.489.238;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
5;4;0.04255;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1737305;0.182765;96894.39;1222648;2.642.068;93025.06;5.007.301;660.517;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382723;1.052.632;;;;;10;4015;12045;660.517;401.5;2.642.068;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
5;2;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;5;0.04255;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1740813;0.1831341;97554.91;1222648;3.302.585;93025.06;5.007.301;660.517;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382723;1.052.632;;;;;10;4015;12045;660.517;401.5;3.302.585;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
1;3;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
5;5;0.04255;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1740813;0.1831341;97554.91;1222648;3.302.585;93025.06;5.007.301;660.517;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382723;1.052.632;;;;;10;4015;12045;660.517;401.5;3.302.585;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
10;3;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;0;0.0851;641.021.254.158.149;10;999999;537.659.836.810.924;CC;1713227;0.1805516;93499.11;1216604;0;92922.98;5.005.176;3.649.583;1832776;1786466;3,03E-10;5,56E-06;0;1,80E-13;2,70E-07;383424.6;1.052.632;;;;;10;2554;14251.98;3.649.583;255.4;0;641.021.254.158.149;0;1153838;926216.3;537.659.836.810.924;0;1.004.458;999999;;892308.1;286680.6
5;3;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
